time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,219,63,127,9
2026-07-19 00:00:00+00:00,126,46,121,9
2026-07-20 00:00:00+00:00,183,57,82,5
2026-07-21 00:00:00+00:00,419,90,313,9
2026-07-22 00:00:00+00:00,57,47,78,27
2026-07-23 00:00:00+00:00,253,70,102,12
2026-07-24 00:00:00+00:00,51,35,62,10
2026-07-25 00:00:00+00:00,56,35,42,2
2026-07-26 00:00:00+00:00,330,73,176,4
2026-07-27 00:00:00+00:00,175,47,72,9
2026-07-28 00:00:00+00:00,46,37,55,19
2026-07-29 00:00:00+00:00,44,33,56,18
2026-07-30 00:00:00+00:00,190,52,132,6
2026-07-31 00:00:00+00:00,224,60,103,14
